Date,City,Meteors
2024-03-29,Tokyo,0
2024-03-30,Tokyo,0
2024-03-31,Tokyo,0
2023-11-15,Seoul,0
2023-11-16,Seoul,0
2023-11-17,Seoul,3
2023-11-18,Seoul,0
2023-11-19,Seoul,0
2023-11-20,Seoul,0
2023-11-21,Seoul,0
2023-11-22,Seoul,0
2023-11-23,Seoul,0
2023-11-24,Seoul,0
2023-11-25,Seoul,10
2023-11-26,Seoul,0
2023-11-27,Seoul,0
2023-11-28,Seoul,0
2023-11-29,Seoul,0
2023-11-30,Seoul,0
2023-12-01,Seoul,6
2023-12-02,Seoul,0
2023-12-03,Seoul,9
2023-12-04,Seoul,9
2023-12-05,Seoul,13
2023-12-06,Seoul,0
2023-12-07,Seoul,0
2023-12-08,Seoul,0
2023-12-09,Seoul,0
2023-12-10,Seoul,0
2023-12-11,Seoul,0
2023-12-12,Seoul,0
2023-12-13,Seoul,7
2023-12-14,Seoul,0
2023-12-15,Seoul,0
2023-12-16,Seoul,13
2023-12-17,Seoul,0
2023-12-18,Seoul,12
2023-12-19,Seoul,0
2023-12-20,Seoul,0
2023-12-21,Seoul,0
2023-12-22,Seoul,0
2023-12-23,Seoul,0
2023-12-24,Seoul,8
2023-12-25,Seoul,0
2023-12-26,Seoul,0
2023-12-27,Seoul,0
2023-12-28,Seoul,0
2023-12-29,Seoul,0
2023-12-30,Seoul,3
2023-12-31,Seoul,0
2024-01-01,Seoul,0
2024-01-02,Seoul,12
2024-01-03,Seoul,12
2024-01-04,Seoul,0
2024-01-05,Seoul,0
2024-01-06,Seoul,0
2024-01-07,Seoul,0
2024-01-08,Seoul,1
2024-01-09,Seoul,2
2024-01-10,Seoul,0
2024-01-11,Seoul,13
2024-01-12,Seoul,0
2024-01-13,Seoul,0
2024-01-14,Seoul,0
2024-01-15,Seoul,0
2024-01-16,Seoul,6
2024-01-17,Seoul,0
2024-01-18,Seoul,8
2024-01-19,Seoul,0
2024-01-20,Seoul,4
2024-01-21,Seoul,0
2024-01-22,Seoul,0
2024-01-23,Seoul,0
2024-01-24,Seoul,14
2024-01-25,Seoul,0
2024-01-26,Seoul,0
2024-01-27,Seoul,0
2024-01-28,Seoul,0
2024-01-29,Seoul,10
2024-01-30,Seoul,0
2024-01-31,Seoul,0
2024-02-01,Seoul,0
2024-02-02,Seoul,0
2024-02-03,Seoul,0
2024-02-04,Seoul,0
2024-02-05,Seoul,0
2024-02-06,Seoul,0
2024-02-07,Seoul,0
2024-02-08,Seoul,0
2024-02-09,Seoul,0
2024-02-10,Seoul,0
2024-02-11,Seoul,5
2024-02-12,Seoul,0
2024-02-13,Seoul,0
2024-02-14,Seoul,0
2024-02-15,Seoul,0
2024-02-16,Seoul,0
2024-02-17,Seoul,0
2024-02-18,Seoul,0
2024-02-19,Seoul,3
2024-02-20,Seoul,0
2024-02-21,Seoul,0
2024-02-22,Seoul,0
2024-02-23,Seoul,0
2024-02-24,Seoul,0
2024-02-25,Seoul,0
2024-02-26,Seoul,0
2024-02-27,Seoul,0
2024-02-28,Seoul,0
2024-02-29,Seoul,0
2024-03-01,Seoul,0
2024-03-02,Seoul,0
2024-03-03,Seoul,0
2024-03-04,Seoul,0
2024-03-05,Seoul,0
2024-03-06,Seoul,0
2024-03-07,Seoul,0
2024-03-08,Seoul,7
2024-03-09,Seoul,0
2024-03-10,Seoul,15
2024-03-11,Seoul,10
2024-03-12,Seoul,0
2024-03-13,Seoul,0
2024-03-14,Seoul,0
2024-03-15,Seoul,15
2024-03-16,Seoul,0
2024-03-17,Seoul,0
2024-03-18,Seoul,10
2024-03-19,Seoul,0
2024-03-20,Seoul,0
2024-03-21,Seoul,14
2024-03-22,Seoul,0
2024-03-23,Seoul,0
2024-03-24,Seoul,0
2024-03-25,Seoul,0
2024-03-26,Seoul,6
2024-03-27,Seoul,0
2024-03-28,Seoul,0
2024-03-29,Seoul,0
2024-03-30,Seoul,0
2024-03-31,Seoul,0
